Date, Volume, Adj_Close, High, Low, Open, Close
2015-05-08, 15699400, 44.09, 44.55, 44.00, 44.34, 44.09
2015-05-07, 28194200, 43.87, 44.98, 43.55, 44.93, 43.87
2015-05-06, 13921000, 41.66, 41.73, 41.21, 41.31, 41.66
2015-05-05, 19278500, 41.30, 42.00, 40.81, 41.86, 41.30
2015-05-04, 14455200, 42.04, 42.55, 41.83, 42.50, 42.04
2015-05-01, 10457300, 42.51, 42.68, 42.09, 42.55, 42.51
2015-04-30, 14218600, 42.57, 43.31, 42.26, 43.12, 42.57
2015-04-29, 12680000, 43.28, 44.05, 43.09, 43.88, 43.28
2015-04-28, 7197100, 44.34, 44.57, 43.94, 44.34, 44.34
2015-04-27, 10855400, 44.36, 45.10, 44.25, 44.65, 44.36
2015-04-24, 11281100, 44.52, 44.71, 43.69, 43.73, 44.52
2015-04-23, 14298900, 43.70, 44.06, 43.58, 43.92, 43.70
2015-04-22, 32284300, 43.98, 44.85, 43.67, 44.58, 43.98
2015-04-21, 18617900, 44.49, 45.18, 44.45, 45.15, 44.49
2015-04-20, 10228700, 44.66, 44.91, 44.41, 44.73, 44.66
2015-04-17, 13591600, 44.45, 45.44, 44.25, 45.30, 44.45
2015-04-16, 13833100, 45.78, 46.13, 45.53, 45.82, 45.78
2015-04-15, 15039600, 45.73, 45.83, 45.23, 45.46, 45.73
2015-04-14, 12365800, 45.53, 45.64, 44.79, 44.82, 45.53
2015-04-13, 8837300, 44.77, 45.59, 44.72, 45.25, 44.77
2015-04-10, 8436400, 45.18, 45.79, 45.00, 45.79, 45.18
2015-04-09, 13678000, 45.63, 46.17, 45.16, 45.70, 45.63
2015-04-08, 16071000, 45.17, 45.19, 43.80, 43.86, 45.17
